 , ,"All enterprises within the private, non-financial urban trades",..,..,..,..,9,..,7,11,13
 , ,10-39 Manufacturing,..,..,..,..,7,..,6,8,9
 , ,41-43 Construction,..,..,..,..,1,..,0,3,3
 , ,45-56 Trade and transport etc.,..,..,..,..,6,..,5,7,11
 , ,58-63 Information and communication,..,..,..,..,33,..,29,39,47
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,13,..,8,15,13
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",..,..,..,..,..,..,..,..,..
 ,10-49 employees,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",..,..,..,..,7,..,5,8,10
 , ,10-39 Manufacturing,..,..,..,..,5,..,3,3,5
 , ,41-43 Construction,..,..,..,..,..,..,..,2,2
 , ,45-56 Trade and transport etc.,..,..,..,..,4,..,4,5,8
 , ,58-63 Information and communication,..,..,..,..,31,..,26,35,45
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,12,..,6,12,11
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",..,..,..,..,..,..,..,..,..
 ,50-99 employees,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",..,..,..,..,11,..,10,17,17
 , ,10-39 Manufacturing,..,..,..,..,6,..,7,14,13
 , ,41-43 Construction,..,..,..,..,5,..,1,6,8
 , ,45-56 Trade and transport etc.,..,..,..,..,9,..,8,13,18
 , ,58-63 Information and communication,..,..,..,..,35,..,31,43,42
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,17,..,14,26,17
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",..,..,..,..,..,..,..,..,..
 ,100-249 employees,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",..,..,..,..,17,..,14,20,26
 , ,10-39 Manufacturing,..,..,..,..,15,..,10,14,17
 , ,41-43 Construction,..,..,..,..,3,..,3,7,9
 , ,45-56 Trade and transport etc.,..,..,..,..,16,..,15,20,28
 , ,58-63 Information and communication,..,..,..,..,43,..,41,58,67
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,17,..,13,19,29
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",..,..,..,..,..,..,..,..,..
 ,250 employees and over,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",..,..,..,..,35,..,31,40,41
 , ,10-39 Manufacturing,..,..,..,..,38,..,30,40,38
 , ,41-43 Construction,..,..,..,..,9,..,11,15,20
 , ,45-56 Trade and transport etc.,..,..,..,..,31,..,22,33,37
 , ,58-63 Information and communication,..,..,..,..,67,..,74,74,72
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,32,..,36,46,43
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",..,..,..,..,..,..,..,..,..
The reference time is January of the year in question.   ,,,,,,,,,,,
  ,,,,,,,,,,,
" Before 2021, the category of one or more types of robots contained ",,,,,,,,,,,
"only industrial and service robots. In 2021, the category has been ",,,,,,,,,,,
"expanded to include collaborative and software robot, after which ",,,,,,,,,,,
software robots have again been omitted from 2023.   ,,,,,,,,,,,
  ,,,,,,,,,,,
" In 2022, the question about the company's use of artificial ",,,,,,,,,,,
"intelligence is formulated differently compared to 2021, which has ",,,,,,,,,,,
"resulted in a lower share. In 2023, there is also a specification ",,,,,,,,,,,
that the technology must be based on artificial intelligence for each ,,,,,,,,,,,
sub-question.  ,,,,,,,,,,,
  ,,,,,,,,,,,
 The category 2. Use artificial intelligence depends on the ,,,,,,,,,,,
subcategories. Comparisons between different years must therefore ,,,,,,,,,,,
take the subcategories into account.  ,,,,,,,,,,,
  ,,,,,,,,,,,
" In 2025, some values have been updated after publication, this is ",,,,,,,,,,,
due to the addition of the category 2.8 Using artificial intelligence ,,,,,,,,,,,
"to generate pictures, videos, sound/audio. ",,,,,,,,,,,
