0,1,Industry,2017,2018,2019,2020,2021,2022,2023,2024,2025
 , ,"All enterprises within the private, non-financial urban trades",,,,,9.0,,7.0,11.0,13.0
 , ,10-39 Manufacturing,,,,,7.0,,6.0,8.0,9.0
 , ,41-43 Construction,,,,,1.0,,0.0,3.0,3.0
 , ,45-56 Trade and transport etc.,,,,,6.0,,5.0,7.0,11.0
 , ,58-63 Information and communication,,,,,33.0,,29.0,39.0,47.0
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,13.0,,8.0,15.0,13.0
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",,,,,,,,,
 ,10-49 employees,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",,,,,7.0,,5.0,8.0,10.0
 , ,10-39 Manufacturing,,,,,5.0,,3.0,3.0,5.0
 , ,41-43 Construction,,,,,,,,2.0,2.0
 , ,45-56 Trade and transport etc.,,,,,4.0,,4.0,5.0,8.0
 , ,58-63 Information and communication,,,,,31.0,,26.0,35.0,45.0
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,12.0,,6.0,12.0,11.0
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",,,,,,,,,
 ,50-99 employees,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",,,,,11.0,,10.0,17.0,17.0
 , ,10-39 Manufacturing,,,,,6.0,,7.0,14.0,13.0
 , ,41-43 Construction,,,,,5.0,,1.0,6.0,8.0
 , ,45-56 Trade and transport etc.,,,,,9.0,,8.0,13.0,18.0
 , ,58-63 Information and communication,,,,,35.0,,31.0,43.0,42.0
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,17.0,,14.0,26.0,17.0
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",,,,,,,,,
 ,100-249 employees,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",,,,,17.0,,14.0,20.0,26.0
 , ,10-39 Manufacturing,,,,,15.0,,10.0,14.0,17.0
 , ,41-43 Construction,,,,,3.0,,3.0,7.0,9.0
 , ,45-56 Trade and transport etc.,,,,,16.0,,15.0,20.0,28.0
 , ,58-63 Information and communication,,,,,43.0,,41.0,58.0,67.0
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,17.0,,13.0,19.0,29.0
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",,,,,,,,,
 ,250 employees and over,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",,,,,35.0,,31.0,40.0,41.0
 , ,10-39 Manufacturing,,,,,38.0,,30.0,40.0,38.0
 , ,41-43 Construction,,,,,9.0,,11.0,15.0,20.0
 , ,45-56 Trade and transport etc.,,,,,31.0,,22.0,33.0,37.0
 , ,58-63 Information and communication,,,,,67.0,,74.0,74.0,72.0
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,32.0,,36.0,46.0,43.0
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",,,,,,,,,
